,user_id,grade_id,sex,height,weight,bmi,usa_routes
32,3749.0,59.0,1,157,53,21.50188648626719,5.13a
44,4802.0,59.0,1,171,53,18.125235115078144,5.13a
49,5323.0,57.0,1,168,53,18.77834467120182,5.12d
52,5655.0,51.0,1,165,48,17.63085399449036,5.12a
59,6610.0,59.0,1,152,48,20.775623268698062,5.13a
68,7511.0,53.0,1,166,58,21.04804761213529,5.12b
75,8311.0,57.0,1,160,53,20.703124999999996,5.12d
85,9141.0,55.0,1,160,48,18.749999999999996,5.12c
90,9564.0,51.0,1,175,63,20.571428571428573,5.12a
94,9937.0,53.0,1,148,48,21.91380569758948,5.12b
113,11583.0,36.0,1,158,43,17.224803717352987,5.10a
115,11639.0,51.0,1,170,63,21.79930795847751,5.12a
123,12036.0,36.0,1,160,48,18.749999999999996,5.10a
144,13583.0,62.0,1,163,48,18.06616733787497,5.13b
158,14844.0,66.0,1,167,58,20.796729893506402,5.13d
161,15026.0,36.0,1,183,73,21.798202394816204,5.10a
166,15406.0,38.0,1,171,58,19.835162956123252,5.10b
167,15570.0,46.0,1,153,58,24.77679524969029,5.11b
174,16339.0,53.0,1,165,63,23.140495867768596,5.12b
177,16483.0,66.0,1,153,53,22.64086462471699,5.13d
178,16629.0,53.0,1,173,58,19.37919743392696,5.12b
183,16833.0,64.0,1,166,48,17.419073885905068,5.13c
189,17027.0,64.0,1,162,53,20.195092211553114,5.13c
197,17465.0,36.0,1,157,53,21.50188648626719,5.10a
210,18271.0,66.0,1,160,43,16.796874999999996,5.13d
218,18743.0,62.0,1,155,43,17.898022892819977,5.13b
259,21175.0,49.0,1,165,53,19.467401285583104,5.11d
260,21195.0,64.0,1,170,58,20.06920415224914,5.13c
262,21259.0,55.0,1,165,53,19.467401285583104,5.12c
269,21752.0,46.0,1,167,53,19.003908350962746,5.11b
273,22017.0,55.0,1,170,58,20.06920415224914,5.12c
275,22027.0,55.0,1,255,53,8.150711264898117,5.12c
288,22463.0,44.0,1,170,63,21.79930795847751,5.11a
294,22628.0,59.0,1,150,43,19.11111111111111,5.13a
298,22831.0,33.0,1,168,58,20.549886621315196,5.9
307,23405.0,40.0,1,176,58,18.72417355371901,5.10c
313,23740.0,66.0,1,160,53,20.703124999999996,5.13d
319,23953.0,46.0,1,173,53,17.70857696548498,5.11b
321,24046.0,57.0,1,165,58,21.30394857667585,5.12d
325,24234.0,70.0,1,170,48,16.60899653979239,5.14b
326,24235.0,51.0,1,153,43,18.369003374770386,5.12a
330,24370.0,57.0,1,155,58,24.141519250780433,5.12d
336,24872.0,62.0,1,163,58,21.829952199932254,5.13b
339,24886.0,40.0,1,168,53,18.77834467120182,5.10c
344,24927.0,62.0,1,165,53,19.467401285583104,5.13b
346,25014.0,36.0,1,162,58,22.10028959000152,5.10a
362,25998.0,49.0,1,158,43,17.224803717352987,5.11d
398,27895.0,55.0,1,175,58,18.93877551020408,5.12c
417,29285.0,36.0,1,165,63,23.140495867768596,5.10a
418,29371.0,62.0,1,158,48,19.227687870533565,5.13b
427,29999.0,51.0,1,161,53,20.446742023841672,5.12a
434,30289.0,53.0,1,180,53,16.358024691358022,5.12b
462,31514.0,64.0,1,255,100,15.378700499807767,5.13c
472,32481.0,44.0,1,168,48,17.006802721088437,5.11a
475,32540.0,70.0,1,165,48,17.63085399449036,5.14b
