,user_id,grade_id,sex,height,weight,bmi,usa_routes
0,69.0,62.0,0,183,73,21.798202394816204,5.13b
1,160.0,55.0,0,190,83,22.991689750692522,5.12c
2,215.0,68.0,0,174,73,24.111507464658473,5.14a
3,312.0,59.0,0,180,73,22.530864197530864,5.13a
4,439.0,62.0,0,181,78,23.808797045267237,5.13b
5,446.0,66.0,0,185,78,22.79035792549306,5.13d
6,452.0,77.0,0,178,68,21.461936624163616,5.15a
7,667.0,51.0,0,168,53,18.77834467120182,5.12a
8,823.0,68.0,0,178,73,23.04002019946976,5.14a
9,899.0,57.0,0,185,78,22.79035792549306,5.12d
10,1042.0,46.0,0,198,88,22.44668911335578,5.11b
11,1146.0,57.0,0,175,68,22.20408163265306,5.12d
12,1195.0,55.0,0,150,63,28.0,5.12c
13,1323.0,53.0,0,175,73,23.836734693877553,5.12b
14,1356.0,68.0,0,255,78,11.995386389850058,5.14a
15,1387.0,46.0,0,188,88,24.898143956541425,5.11b
16,1522.0,68.0,0,158,93,37.25364524915878,5.14a
17,1549.0,66.0,0,185,68,19.86851716581446,5.13d
18,1585.0,62.0,0,177,73,23.301094832264035,5.13b
19,1777.0,70.0,0,180,73,22.530864197530864,5.14b
20,1790.0,51.0,0,170,73,25.25951557093426,5.12a
21,1844.0,64.0,0,178,68,21.461936624163616,5.13c
22,2034.0,68.0,0,172,78,26.365603028664147,5.14a
23,2323.0,64.0,0,183,78,23.291229956104985,5.13c
24,2505.0,44.0,0,176,78,25.180785123966942,5.11a
25,2510.0,70.0,0,155,68,28.303850156087407,5.14b
26,2593.0,57.0,0,192,83,22.51519097222222,5.12d
27,2910.0,59.0,0,178,73,23.04002019946976,5.13a
28,2936.0,72.0,0,255,63,9.688581314878894,5.14c
29,3012.0,68.0,0,176,68,21.952479338842977,5.14a
30,3091.0,64.0,0,175,73,23.836734693877553,5.13c
31,3483.0,36.0,0,195,68,17.882971729125575,5.10a
33,3831.0,62.0,0,168,63,22.321428571428577,5.13b
34,3907.0,66.0,0,164,58,21.564544913741823,5.13d
35,3936.0,62.0,0,180,73,22.530864197530864,5.13b
36,3943.0,70.0,0,159,63,24.919900320398717,5.14b
37,4151.0,53.0,0,180,68,20.98765432098765,5.12b
38,4391.0,62.0,0,177,73,23.301094832264035,5.13b
39,4422.0,77.0,0,175,73,23.836734693877553,5.15a
40,4524.0,57.0,0,185,78,22.79035792549306,5.12d
41,4530.0,55.0,0,180,68,20.98765432098765,5.12c
42,4662.0,46.0,0,178,68,21.461936624163616,5.11b
43,4744.0,64.0,0,195,93,24.45759368836292,5.13c
45,4850.0,46.0,0,175,73,23.836734693877553,5.11b
46,4901.0,42.0,0,180,63,19.444444444444443,5.10d
47,5087.0,59.0,0,157,63,25.558846200657225,5.13a
48,5302.0,55.0,0,196,88,22.907122032486466,5.12c
50,5352.0,66.0,0,182,73,22.03840115928028,5.13d
51,5498.0,68.0,0,170,58,20.06920415224914,5.14a
53,5850.0,62.0,0,182,73,22.03840115928028,5.13b
54,5909.0,59.0,0,180,63,19.444444444444443,5.13a
55,6051.0,68.0,0,180,68,20.98765432098765,5.14a
56,6348.0,75.0,0,170,63,21.79930795847751,5.14d
57,6418.0,53.0,0,192,73,19.80251736111111,5.12b
58,6419.0,38.0,0,175,63,20.571428571428573,5.10b
60,6801.0,62.0,0,180,68,20.98765432098765,5.13b
61,6891.0,68.0,0,168,63,22.321428571428577,5.14a
62,6900.0,29.0,0,150,40,17.77777777777778,5.7
63,7088.0,64.0,0,182,68,20.528921627822726,5.13c
64,7233.0,42.0,0,172,73,24.675500270416443,5.10d
65,7278.0,57.0,0,170,68,23.529411764705884,5.12d
66,7400.0,53.0,0,170,73,25.25951557093426,5.12b
67,7510.0,51.0,0,183,83,24.78425751739377,5.12a
69,7575.0,64.0,0,161,63,24.3046178773967,5.13c
70,7655.0,68.0,0,173,68,22.720438370810918,5.14a
71,7907.0,62.0,0,170,68,23.529411764705884,5.13b
72,7983.0,57.0,0,170,83,28.719723183391007,5.12d
73,8063.0,49.0,0,179,78,24.343809494085704,5.11d
74,8189.0,44.0,0,175,63,20.571428571428573,5.11a
76,8439.0,68.0,0,167,68,24.38237297859371,5.14a
77,8444.0,70.0,0,152,53,22.939750692520775,5.14b
78,8650.0,51.0,0,176,68,21.952479338842977,5.12a
79,8730.0,53.0,0,185,73,21.32943754565376,5.12b
80,8741.0,62.0,0,175,68,22.20408163265306,5.13b
81,8777.0,55.0,0,179,78,24.343809494085704,5.12c
82,8975.0,59.0,0,165,58,21.30394857667585,5.13a
83,8993.0,72.0,0,170,58,20.06920415224914,5.14c
84,9018.0,51.0,0,178,73,23.04002019946976,5.12a
86,9181.0,68.0,0,177,88,28.088991030674453,5.14a
87,9311.0,53.0,0,176,63,20.33832644628099,5.12b
88,9413.0,59.0,0,173,68,22.720438370810918,5.13a
89,9429.0,66.0,0,170,63,21.79930795847751,5.13d
91,9567.0,53.0,0,183,63,18.812147272238644,5.12b
92,9695.0,44.0,0,190,88,24.37673130193906,5.11a
93,9806.0,31.0,0,187,78,22.305470559638533,5.8
95,10035.0,40.0,0,182,78,23.54788069073783,5.10c
96,10043.0,38.0,0,175,73,23.836734693877553,5.10b
97,10324.0,59.0,0,182,68,20.528921627822726,5.13a
98,10370.0,62.0,0,177,63,20.109164033323754,5.13b
99,10420.0,57.0,0,183,73,21.798202394816204,5.12d
100,10441.0,68.0,0,190,88,24.37673130193906,5.14a
101,10537.0,55.0,0,183,83,24.78425751739377,5.12c
102,10633.0,62.0,0,188,73,20.654142145767317,5.13b
103,10998.0,64.0,0,173,68,22.720438370810918,5.13c
104,11014.0,70.0,0,183,78,23.291229956104985,5.14b
105,11065.0,68.0,0,178,68,21.461936624163616,5.14a
106,11104.0,70.0,0,180,73,22.530864197530864,5.14b
107,11192.0,49.0,0,255,68,10.457516339869281,5.11d
108,11264.0,59.0,0,178,73,23.04002019946976,5.13a
109,11342.0,64.0,0,178,73,23.04002019946976,5.13c
110,11452.0,59.0,0,186,78,22.54595907041276,5.13a
111,11464.0,59.0,0,185,73,21.32943754565376,5.13a
112,11505.0,51.0,0,179,83,25.90431010268094,5.12a
114,11597.0,46.0,0,185,63,18.407596785975162,5.11b
116,11666.0,59.0,0,181,73,22.282592106468055,5.13a
117,11703.0,64.0,0,180,68,20.98765432098765,5.13c
118,11833.0,36.0,0,172,63,21.29529475392104,5.10a
119,11847.0,44.0,0,183,73,21.798202394816204,5.11a
120,12012.0,53.0,0,177,68,21.705129432793896,5.12b
121,12015.0,62.0,0,176,73,23.56663223140496,5.13b
122,12021.0,46.0,0,206,53,12.489395796022245,5.11b
124,12093.0,51.0,0,183,78,23.291229956104985,5.12a
125,12179.0,51.0,0,175,63,20.571428571428573,5.12a
126,12377.0,68.0,0,185,68,19.86851716581446,5.14a
127,12419.0,44.0,0,189,73,20.43615800229557,5.11a
128,12457.0,68.0,0,176,68,21.952479338842977,5.14a
129,12486.0,57.0,0,177,68,21.705129432793896,5.12d
130,12499.0,57.0,0,178,68,21.461936624163616,5.12d
131,12513.0,55.0,0,171,63,21.545090797168363,5.12c
132,12527.0,51.0,0,176,73,23.56663223140496,5.12a
133,12650.0,46.0,0,180,68,20.98765432098765,5.11b
134,12702.0,51.0,0,173,63,21.04981790236894,5.12a
135,12827.0,46.0,0,149,58,26.12494932660691,5.11b
136,12870.0,66.0,0,170,58,20.06920415224914,5.13d
137,12943.0,62.0,0,255,93,14.302191464821224,5.13b
138,12993.0,68.0,0,165,53,19.467401285583104,5.14a
139,13299.0,38.0,0,163,73,27.475629493018182,5.10b
140,13332.0,49.0,0,183,68,20.305174833527424,5.11d
141,13361.0,46.0,0,182,78,23.54788069073783,5.11b
142,13523.0,44.0,0,153,93,39.728309624503396,5.11a
143,13569.0,51.0,0,171,63,21.545090797168363,5.12a
145,13796.0,59.0,0,183,83,24.78425751739377,5.13a
146,13829.0,40.0,0,190,83,22.991689750692522,5.10c
147,13844.0,55.0,0,195,83,21.827744904667984,5.12c
148,13916.0,49.0,0,178,73,23.04002019946976,5.11d
149,13969.0,46.0,0,172,73,24.675500270416443,5.11b
150,14136.0,62.0,0,173,63,21.04981790236894,5.13b
