,user_id,grade_id,sex,usa_routes,sex_name
0,61.0,57.0,0,5.12d,male
1,65.0,64.0,0,5.13c,male
2,66.0,62.0,0,5.13b,male
3,69.0,62.0,0,5.13b,male
4,134.0,70.0,0,5.14b,male
5,160.0,55.0,0,5.12c,male
6,215.0,68.0,0,5.14a,male
7,312.0,59.0,0,5.13a,male
8,345.0,64.0,0,5.13c,male
9,351.0,70.0,0,5.14b,male
10,358.0,64.0,0,5.13c,male
11,359.0,64.0,0,5.13c,male
12,379.0,70.0,0,5.14b,male
13,392.0,59.0,0,5.13a,male
14,417.0,68.0,0,5.14a,male
15,439.0,62.0,0,5.13b,male
16,446.0,66.0,0,5.13d,male
17,452.0,77.0,0,5.15a,male
18,667.0,51.0,0,5.12a,male
19,823.0,68.0,0,5.14a,male
20,899.0,57.0,0,5.12d,male
21,932.0,68.0,0,5.14a,male
22,1042.0,46.0,0,5.11b,male
23,1138.0,75.0,0,5.14d,male
24,1146.0,57.0,0,5.12d,male
25,1195.0,55.0,0,5.12c,male
26,1323.0,53.0,0,5.12b,male
27,1356.0,68.0,0,5.14a,male
28,1362.0,66.0,0,5.13d,male
29,1387.0,46.0,0,5.11b,male
30,1455.0,59.0,0,5.13a,male
31,1467.0,57.0,0,5.12d,male
32,1522.0,68.0,0,5.14a,male
33,1549.0,66.0,0,5.13d,male
34,1585.0,62.0,0,5.13b,male
35,1625.0,57.0,0,5.12d,male
36,1656.0,66.0,1,5.13d,female
37,1710.0,55.0,0,5.12c,male
38,1777.0,70.0,0,5.14b,male
39,1781.0,62.0,0,5.13b,male
40,1790.0,51.0,0,5.12a,male
41,1795.0,62.0,0,5.13b,male
42,1838.0,51.0,0,5.12a,male
43,1844.0,64.0,0,5.13c,male
44,1865.0,62.0,0,5.13b,male
45,2034.0,68.0,0,5.14a,male
46,2056.0,55.0,0,5.12c,male
47,2057.0,59.0,0,5.13a,male
48,2139.0,68.0,0,5.14a,male
49,2142.0,64.0,0,5.13c,male
50,2182.0,59.0,0,5.13a,male
51,2212.0,68.0,0,5.14a,male
52,2225.0,51.0,0,5.12a,male
53,2298.0,49.0,0,5.11d,male
54,2323.0,64.0,0,5.13c,male
55,2466.0,51.0,0,5.12a,male
56,2505.0,44.0,0,5.11a,male
57,2510.0,70.0,0,5.14b,male
58,2582.0,66.0,0,5.13d,male
59,2593.0,57.0,0,5.12d,male
60,2602.0,57.0,0,5.12d,male
61,2681.0,66.0,0,5.13d,male
62,2777.0,59.0,0,5.13a,male
63,2898.0,44.0,1,5.11a,female
64,2910.0,59.0,0,5.13a,male
65,2917.0,66.0,0,5.13d,male
66,2936.0,72.0,0,5.14c,male
67,3012.0,68.0,0,5.14a,male
68,3013.0,57.0,0,5.12d,male
69,3059.0,46.0,0,5.11b,male
